song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Good as You,Kane Brown,19kUPdKTp85q9RZNwaXM15,63,0.626,0.516,8,-6.05,1,0.0388,0.4,0,0.142,0.769,153.653,audio_features,19kUPdKTp85q9RZNwaXM15,spotify:track:19kUPdKTp85q9RZNwaXM15,https://api.spotify.com/v1/tracks/19kUPdKTp85q9RZNwaXM15,https://api.spotify.com/v1/audio-analysis/19kUPdKTp85q9RZNwaXM15,192053,4
Cool Again,Kane Brown,5P3oaNpPDVLRJsL3152SEs,53,0.608,0.735,4,-5.497,1,0.0371,0.0156,1.69E-06,0.361,0.773,90.007,audio_features,5P3oaNpPDVLRJsL3152SEs,spotify:track:5P3oaNpPDVLRJsL3152SEs,https://api.spotify.com/v1/tracks/5P3oaNpPDVLRJsL3152SEs,https://api.spotify.com/v1/audio-analysis/5P3oaNpPDVLRJsL3152SEs,164668,4
Becky,Aminé,4PDfwhqOmkkocOHg4Rh4Mq,47,0.579,0.646,10,-4.638,0,0.0402,0.0379,0.000499,0.114,0.326,87.962,audio_features,4PDfwhqOmkkocOHg4Rh4Mq,spotify:track:4PDfwhqOmkkocOHg4Rh4Mq,https://api.spotify.com/v1/tracks/4PDfwhqOmkkocOHg4Rh4Mq,https://api.spotify.com/v1/audio-analysis/4PDfwhqOmkkocOHg4Rh4Mq,220651,4
Jump,phem,6MeCluWWc5udlQVlOb5QBZ,8,0.772,0.402,9,-8.037,1,0.0846,0.386,0.000109,0.107,0.342,149.044,audio_features,6MeCluWWc5udlQVlOb5QBZ,spotify:track:6MeCluWWc5udlQVlOb5QBZ,https://api.spotify.com/v1/tracks/6MeCluWWc5udlQVlOb5QBZ,https://api.spotify.com/v1/audio-analysis/6MeCluWWc5udlQVlOb5QBZ,157871,4
Easy (feat. Summer Walker),Aminé,5AMJhqZCE2FkvbCSLlABaX,41,0.748,0.664,9,-4.228,0,0.183,0.127,0,0.062,0.722,85.041,audio_features,5AMJhqZCE2FkvbCSLlABaX,spotify:track:5AMJhqZCE2FkvbCSLlABaX,https://api.spotify.com/v1/tracks/5AMJhqZCE2FkvbCSLlABaX,https://api.spotify.com/v1/audio-analysis/5AMJhqZCE2FkvbCSLlABaX,211279,4
Easy (feat. Summer Walker),Summer Walker,5AMJhqZCE2FkvbCSLlABaX,41,0.748,0.664,9,-4.228,0,0.183,0.127,0,0.062,0.722,85.041,audio_features,5AMJhqZCE2FkvbCSLlABaX,spotify:track:5AMJhqZCE2FkvbCSLlABaX,https://api.spotify.com/v1/tracks/5AMJhqZCE2FkvbCSLlABaX,https://api.spotify.com/v1/audio-analysis/5AMJhqZCE2FkvbCSLlABaX,211279,4
concert for aliens,mgk,7os53rdrgA0OU6xC5xJruX,56,0.507,0.951,11,-2.999,1,0.0586,0.00032,0,0.33,0.692,95.016,audio_features,7os53rdrgA0OU6xC5xJruX,spotify:track:7os53rdrgA0OU6xC5xJruX,https://api.spotify.com/v1/tracks/7os53rdrgA0OU6xC5xJruX,https://api.spotify.com/v1/audio-analysis/7os53rdrgA0OU6xC5xJruX,160222,4
Mr. Man & K.i.D,KYLE,0BLXjezNeOpWq6TDqF6QdA,23,0.622,0.866,10,-7.152,0,0.622,0.164,0,0.159,0.193,75.481,audio_features,0BLXjezNeOpWq6TDqF6QdA,spotify:track:0BLXjezNeOpWq6TDqF6QdA,https://api.spotify.com/v1/tracks/0BLXjezNeOpWq6TDqF6QdA,https://api.spotify.com/v1/audio-analysis/0BLXjezNeOpWq6TDqF6QdA,130483,3
Taking A Walk,Trippie Redd,4mHgYpuGHu99Mw69E83CP2,17,0.767,0.538,0,-6.044,0,0.052,0.68,0,0.192,0.343,81.029,audio_features,4mHgYpuGHu99Mw69E83CP2,spotify:track:4mHgYpuGHu99Mw69E83CP2,https://api.spotify.com/v1/tracks/4mHgYpuGHu99Mw69E83CP2,https://api.spotify.com/v1/audio-analysis/4mHgYpuGHu99Mw69E83CP2,121680,4
Open Mic\\Aquarius III,Logic,4L6QpiLxCLok9wZfFIdiqF,45,0.751,0.916,0,-3.917,1,0.256,0.169,0,0.366,0.745,89.876,audio_features,4L6QpiLxCLok9wZfFIdiqF,spotify:track:4L6QpiLxCLok9wZfFIdiqF,https://api.spotify.com/v1/tracks/4L6QpiLxCLok9wZfFIdiqF,https://api.spotify.com/v1/audio-analysis/4L6QpiLxCLok9wZfFIdiqF,303931,4
