song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Call Me,Blondie,7HKxTNVlkHsfMLhigmhC0I,71,0.553,0.833,2,-6.667,0,0.0347,0.000646,0.00246,0.0737,0.773,142.663,audio_features,7HKxTNVlkHsfMLhigmhC0I,spotify:track:7HKxTNVlkHsfMLhigmhC0I,https://api.spotify.com/v1/tracks/7HKxTNVlkHsfMLhigmhC0I,https://api.spotify.com/v1/audio-analysis/7HKxTNVlkHsfMLhigmhC0I,212227,4
Rebel Yell,Billy Idol,1S2yXfKjH5S14W5ga1m0nD,0,0.536,0.869,4,-4.91,0,0.0597,0.000732,0.000374,0.337,0.493,166.383,audio_features,1S2yXfKjH5S14W5ga1m0nD,spotify:track:1S2yXfKjH5S14W5ga1m0nD,https://api.spotify.com/v1/tracks/1S2yXfKjH5S14W5ga1m0nD,https://api.spotify.com/v1/audio-analysis/1S2yXfKjH5S14W5ga1m0nD,288533,4
It's Tricky,Run–D.M.C.,36TBMtrW4x7bHW8LH8rnRr,0,0.957,0.754,11,-11.545,0,0.143,0.000985,0.0,0.067,0.961,127.861,audio_features,36TBMtrW4x7bHW8LH8rnRr,spotify:track:36TBMtrW4x7bHW8LH8rnRr,https://api.spotify.com/v1/tracks/36TBMtrW4x7bHW8LH8rnRr,https://api.spotify.com/v1/audio-analysis/36TBMtrW4x7bHW8LH8rnRr,183627,4
Bust A Move,Young MC,2EwS2VaAsnGrwMkpJaIjug,0,0.947,0.488,4,-15.672,1,0.131,0.0829,6.58e-05,0.0765,0.829,117.558,audio_features,2EwS2VaAsnGrwMkpJaIjug,spotify:track:2EwS2VaAsnGrwMkpJaIjug,https://api.spotify.com/v1/tracks/2EwS2VaAsnGrwMkpJaIjug,https://api.spotify.com/v1/audio-analysis/2EwS2VaAsnGrwMkpJaIjug,262400,4
You Make My Dreams,Daryl Hall & John Oates,0293bTPojlkLvyr8ojc74y,47,0.752,0.694,5,-5.385,1,0.062,0.312,0.0348,0.0577,0.869,167.263,audio_features,0293bTPojlkLvyr8ojc74y,spotify:track:0293bTPojlkLvyr8ojc74y,https://api.spotify.com/v1/tracks/0293bTPojlkLvyr8ojc74y,https://api.spotify.com/v1/audio-analysis/0293bTPojlkLvyr8ojc74y,191480,4
Run-Around,Blues Traveler,3y8rEUEUdmAcPCpPoLotnO,52,0.592,0.905,7,-5.648,1,0.0851,0.0675,0.0,0.0904,0.814,151.958,audio_features,3y8rEUEUdmAcPCpPoLotnO,spotify:track:3y8rEUEUdmAcPCpPoLotnO,https://api.spotify.com/v1/tracks/3y8rEUEUdmAcPCpPoLotnO,https://api.spotify.com/v1/audio-analysis/3y8rEUEUdmAcPCpPoLotnO,280093,4
Heaven Is A Place On Earth,Belinda Carlisle,15vASgdsk0J4BrkZhVTxFG,36,0.638,0.793,4,-10.73,1,0.0325,0.0342,1.51e-06,0.0947,0.749,122.864,audio_features,15vASgdsk0J4BrkZhVTxFG,spotify:track:15vASgdsk0J4BrkZhVTxFG,https://api.spotify.com/v1/tracks/15vASgdsk0J4BrkZhVTxFG,https://api.spotify.com/v1/audio-analysis/15vASgdsk0J4BrkZhVTxFG,245960,4
Time After Time,Cyndi Lauper,6G41H0Zd0kQ1WXWDoEotoJ,57,0.728,0.454,0,-9.281,1,0.0278,0.512,1.39e-06,0.0831,0.323,130.368,audio_features,6G41H0Zd0kQ1WXWDoEotoJ,spotify:track:6G41H0Zd0kQ1WXWDoEotoJ,https://api.spotify.com/v1/tracks/6G41H0Zd0kQ1WXWDoEotoJ,https://api.spotify.com/v1/audio-analysis/6G41H0Zd0kQ1WXWDoEotoJ,241160,4
Woman,Wolfmother,54ix2V2omFv9UUiMks7Fhf,0,0.219,0.952,2,-3.621,1,0.176,5.1e-05,0.0989,0.157,0.172,112.886,audio_features,54ix2V2omFv9UUiMks7Fhf,spotify:track:54ix2V2omFv9UUiMks7Fhf,https://api.spotify.com/v1/tracks/54ix2V2omFv9UUiMks7Fhf,https://api.spotify.com/v1/audio-analysis/54ix2V2omFv9UUiMks7Fhf,176307,1
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,3k9i7UzeSUYWIfUZFeFDUd,0,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,audio_features,3k9i7UzeSUYWIfUZFeFDUd,spotify:track:3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/tracks/3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/audio-analysis/3k9i7UzeSUYWIfUZFeFDUd,423840,4
Even Flow,Pearl Jam,6QewNVIDKdSl8Y3ycuHIei,79,0.394,0.944,10,-6.506,0,0.0761,0.00178,4.54e-06,0.298,0.265,105.338,audio_features,6QewNVIDKdSl8Y3ycuHIei,spotify:track:6QewNVIDKdSl8Y3ycuHIei,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,https://api.spotify.com/v1/audio-analysis/6QewNVIDKdSl8Y3ycuHIei,292581,4
Sultans Of Swing,Dire Straits,3LTMnFa0hhwisyq6ILahyj,0,0.731,0.797,5,-9.992,1,0.0309,0.0771,0.0248,0.334,0.933,148.192,audio_features,3LTMnFa0hhwisyq6ILahyj,spotify:track:3LTMnFa0hhwisyq6ILahyj,https://api.spotify.com/v1/tracks/3LTMnFa0hhwisyq6ILahyj,https://api.spotify.com/v1/audio-analysis/3LTMnFa0hhwisyq6ILahyj,348624,4
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,2XwpGD8FY21fVxgGBCCclp,0,0.722,0.882,2,-6.763,1,0.0348,0.0354,0.0496,0.119,0.921,136.299,audio_features,2XwpGD8FY21fVxgGBCCclp,spotify:track:2XwpGD8FY21fVxgGBCCclp,https://api.spotify.com/v1/tracks/2XwpGD8FY21fVxgGBCCclp,https://api.spotify.com/v1/audio-analysis/2XwpGD8FY21fVxgGBCCclp,222840,4
Immigrant Song - 1990 Remaster,Led Zeppelin,6kjlvJLh2DBsSQtqVzFh8I,0,0.574,0.926,11,-10.79,1,0.0562,0.00031,0.478,0.386,0.609,113.097,audio_features,6kjlvJLh2DBsSQtqVzFh8I,spotify:track:6kjlvJLh2DBsSQtqVzFh8I,https://api.spotify.com/v1/tracks/6kjlvJLh2DBsSQtqVzFh8I,https://api.spotify.com/v1/audio-analysis/6kjlvJLh2DBsSQtqVzFh8I,145067,4
Hip To Be Square,Huey Lewis & The News,648BMGrt98kUbLo24A4vgj,63,0.668,0.779,9,-11.089,1,0.0325,0.0025,0.000356,0.139,0.963,140.873,audio_features,648BMGrt98kUbLo24A4vgj,spotify:track:648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/tracks/648BMGrt98kUbLo24A4vgj,https://api.spotify.com/v1/audio-analysis/648BMGrt98kUbLo24A4vgj,245467,4
The Power Of Love,Huey Lewis & The News,0nVqQu7LNToairzQHY8RAW,0,0.766,0.826,5,-5.387,1,0.0299,0.075,3.77e-05,0.072,0.948,118.761,audio_features,0nVqQu7LNToairzQHY8RAW,spotify:track:0nVqQu7LNToairzQHY8RAW,https://api.spotify.com/v1/tracks/0nVqQu7LNToairzQHY8RAW,https://api.spotify.com/v1/audio-analysis/0nVqQu7LNToairzQHY8RAW,234347,4
Seven Nation Army,The White Stripes,7i6r9KotUPQg3ozKKgEPIN,0,0.726,0.463,0,-7.828,1,0.0799,0.00817,0.447,0.255,0.321,123.881,audio_features,7i6r9KotUPQg3ozKKgEPIN,spotify:track:7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/tracks/7i6r9KotUPQg3ozKKgEPIN,https://api.spotify.com/v1/audio-analysis/7i6r9KotUPQg3ozKKgEPIN,231733,4
The Impression That I Get,The Mighty Mighty Bosstones,1ru5R5iSawvuMELqKXxLjS,6,0.418,0.945,4,-5.406,1,0.118,0.0991,0.0123,0.23,0.696,181.174,audio_features,1ru5R5iSawvuMELqKXxLjS,spotify:track:1ru5R5iSawvuMELqKXxLjS,https://api.spotify.com/v1/tracks/1ru5R5iSawvuMELqKXxLjS,https://api.spotify.com/v1/audio-analysis/1ru5R5iSawvuMELqKXxLjS,194760,4
You Give Love A Bad Name,Bon Jovi,61lqNlVRnWYiR9C7BDJw2l,0,0.53,0.964,0,-2.571,0,0.0553,0.0528,4.84e-06,0.372,0.823,122.807,audio_features,61lqNlVRnWYiR9C7BDJw2l,spotify:track:61lqNlVRnWYiR9C7BDJw2l,https://api.spotify.com/v1/tracks/61lqNlVRnWYiR9C7BDJw2l,https://api.spotify.com/v1/audio-analysis/61lqNlVRnWYiR9C7BDJw2l,223147,4
